"","id","latitude","longitude"
"323",371288395,46.500706,6.725861
"324",9971131895,46.019227,7.750489
"326",8358681592,46.548283,7.991952
"328",7731724940,46.652813,8.044663
"329",386478669,46.262855,10.572183
"330",383975686,45.887562,8.532616
"335",5501813381,46.647038,9.999632
"337",372111304,46.792361,9.6805
"338",3974638621,46.50801,9.90294
"339",380958923,47.12541,10.268869
"343",415861281,46.400446,8.131921
"344",387190719,47.041366,10.589597
"345",384517719,47.732814,9.397065
"346",553952297,46.260438,10.584479
"347",11582320784,47.1935,10.144
"350",4800083190,46.967155,10.188757
"351",2958810174,46.118584,7.245311
"352",8028991148,45.788494,7.865699
"353",403279010,45.87318,6.885648
"355",4575469118,46.978407,8.252341
"360",410144670,45.91245,6.59312
"361",17206261152,46.546627,7.892303
"362",410227163,46.775854,9.200127
"363",8036073236,45.786049,6.901733
"365",2390322017,46.605228,7.922344
"368",428101653,45.787494,9.273297
"369",434106339,47.615949,9.53455
"370",2631726773,47.050526,9.437212
"376",3168384750,47.138825,9.521691
"377",457066879,46.54749,7.98308
"380",460161003,45.974828,6.887365
"381",454627119,45.976386,7.658929
"384",2062479554,45.924677,6.86963
"385",465483356,45.981452,6.892343
"386",473849178,47.053619,8.309783
"387",7028928839,46.414487,10.018533
"388",477303171,47.017862,10.295594
"390",2708836313,46.5261,8.17348
"391",4127428280,46.428318,6.977053
"392",8059083936,45.808824,6.978157
"393",495109572,46.523127,6.508519
"395",15561436909,46.051589,9.351704
"396",524109685,47.145627,9.522292
"397",507453479,47.047727,8.470222
"399",44612952874,46.330352,9.430163
"400",561183690,46.562002,7.897142
"402",4614296711,47.352852,8.487933
"403",508177156,45.986667,9.260455
"404",2012878611,46.686292,7.857413
"405",9996905145,46.138333,7.52615
"408",13816233534,46.560645,8.558821
"409",6442252727,46.646061,7.652736
"410",590567635,46.57623,7.88566
"412",541086860,45.983085,7.782597
"413",8111786728,46.486625,6.730552
"414",14862317065,47.332324,9.915257
"416",30980255903,46.50718,7.733731
"417",579430149,47.202032,8.819948
"419",565547906,45.879149,6.886909
"422",8601984870,45.896922,8.525519
"423",746643691,46.010107,9.281902
"427",8145887748,47.51315,10.277186
"432",702183943,45.931139,6.920067
"434",50250662358,45.930488,6.916405
"436",5515273024,46.629046,8.079757
"437",865907801,46.096016,7.078993
"438",1453757483,46.505917,10.118858
"439",3671898111,45.832865,6.864824
"444",937687405,46.639581,10.292494
"446",975276495,45.988904,7.756326
"448",3971176246,47.0455,8.495167
"450",825319793,46.55345,10.158574
"453",16097902808,46.301799,7.527201
"455",2197017503,46.902313,8.497409
"457",849878897,46.324979,9.413352
"458",9367835102,45.953638,8.954497
"459",1343055838,45.937482,10.071802
"461",800673791,45.925211,9.244018
"465",5758714677,45.976148,7.655625
"467",7688167540,46.775808,8.143174
"469",826482026,45.823481,7.791538
"471",5770458875,46.023432,8.855534
"473",870143543,46.532978,10.464005
"478",1047595897,46.404871,9.788324
"482",9372259804,45.900193,9.395499
"483",882403015,46.677695,7.70354
"484",1347530846,45.888985,7.077859
"486",5791165677,45.996833,8.940833
"491",1032943023,45.866225,7.645454
"492",3532767434,46.507844,8.016242
"495",5825720949,46.546937,7.983283
"496",8706959290,45.959666,9.4505
"497",11239770085,47.567416,10.292897
"499",817361914,46.534403,7.1256
"500",5804012059,47.145306,9.193925
"501",12990860895,46.687719,6.878577
"502",8721280554,46.079866,7.213393
"503",6032905439,46.479593,6.783424
"504",8733136638,46.18828,9.029813
"505",24137931413,46.353037,8.976817
"507",887485600,46.773087,8.277125
"509",5817309429,46.684471,7.853429
"519",1025923779,46.501006,6.079838
"521",8513647116,46.635336,8.039448
"522",1210905518,46.665944,7.869508
"523",3105245997,45.974552,6.947629
"528",2163246778,46.506796,8.303529
"531",2950083710,46.578266,8.386377
"532",1458188886,45.891382,6.906216
"533",1518158271,46.61649,9.180386
"534",5853233985,45.919285,6.477116
"536",5895586199,46.729687,7.668403
"537",1243817134,46.229635,6.105662
